episode,opsdemo_reward,response_policy_accuracy,baseline_reward
783,90.0,1.0,90.0
784,91.0,1.0,93.0
785,98.0,1.0,95.0
786,89.0,0.45454545454545453,94.0
787,93.0,1.0,92.0
788,93.0,1.0,90.0
789,95.0,1.0,99.0
790,88.0,1.0,95.0
791,95.0,1.0,89.0
792,92.0,1.0,85.0
793,95.0,1.0,96.0
794,94.0,1.0,86.0
795,95.0,1.0,91.0
796,89.0,1.0,90.0
797,91.0,1.0,87.0
798,91.0,1.0,94.0
799,84.0,0.5714285714285714,95.0
800,96.0,1.0,94.0
801,96.0,1.0,93.0
802,91.0,1.0,93.0
803,96.0,1.0,95.0
804,93.0,1.0,96.0
805,89.0,1.0,92.0
806,95.0,1.0,89.0
807,93.0,1.0,95.0
808,95.0,1.0,88.0
809,94.0,1.0,91.0
810,97.0,1.0,95.0
811,94.0,1.0,91.0
812,97.0,1.0,82.0
813,93.0,1.0,90.0
814,75.0,0.6956521739130435,96.0
815,90.0,1.0,87.0
816,93.0,1.0,87.0
817,88.0,1.0,90.0
818,88.0,1.0,88.0
819,94.0,1.0,91.0
820,93.0,1.0,84.0
821,91.0,1.0,96.0
822,85.0,1.0,86.0
823,93.0,1.0,93.0
824,93.0,0.14285714285714285,95.0
825,89.0,0.5454545454545454,96.0
826,94.0,1.0,97.0
827,96.0,1.0,95.0
828,89.0,1.0,97.0
829,94.0,1.0,93.0
830,91.0,1.0,86.0
831,98.0,1.0,89.0
832,91.0,1.0,85.0
833,99.0,1.0,93.0
834,86.0,1.0,97.0
835,92.0,1.0,90.0
836,91.0,1.0,91.0
837,96.0,1.0,90.0
838,85.0,0.5333333333333333,92.0
839,95.0,1.0,92.0
840,91.0,1.0,90.0
841,96.0,1.0,92.0
842,89.0,1.0,93.0
843,97.0,1.0,91.0
844,95.0,1.0,97.0
845,97.0,1.0,92.0
846,94.0,1.0,96.0
847,93.0,1.0,91.0
848,98.0,1.0,88.0
849,90.0,1.0,95.0
850,90.0,1.0,83.0
851,96.0,1.0,93.0
852,81.0,0.5,94.0
853,92.0,1.0,94.0
854,90.0,1.0,90.0
855,89.0,1.0,87.0
856,91.0,1.0,86.0
857,94.0,1.0,90.0
858,93.0,1.0,92.0
859,95.0,1.0,93.0
860,92.0,1.0,94.0
861,91.0,1.0,85.0
862,95.0,1.0,91.0
863,94.0,1.0,99.0
864,94.0,1.0,93.0
865,89.0,0.45454545454545453,89.0
866,98.0,1.0,86.0
867,97.0,1.0,93.0
868,96.0,1.0,87.0
869,94.0,1.0,86.0
870,93.0,1.0,99.0
871,93.0,1.0,95.0
872,92.0,1.0,94.0
873,94.0,1.0,97.0
874,95.0,1.0,88.0
875,92.0,1.0,96.0
876,95.0,1.0,95.0
877,92.0,1.0,90.0
878,91.0,1.0,91.0
879,97.0,1.0,93.0
880,91.0,1.0,89.0
881,86.0,0.2857142857142857,92.0
882,84.0,1.0,86.0
883,95.0,1.0,92.0
884,88.0,1.0,93.0
885,93.0,1.0,87.0
886,91.0,1.0,99.0
887,95.0,1.0,93.0
888,97.0,1.0,98.0
889,91.0,1.0,93.0
890,96.0,1.0,87.0
891,91.0,1.0,90.0
892,79.0,0.7619047619047619,98.0
893,92.0,1.0,93.0
894,93.0,1.0,85.0
895,89.0,1.0,86.0
896,93.0,1.0,90.0
897,87.0,1.0,92.0
898,91.0,1.0,93.0
899,93.0,1.0,89.0
900,98.0,1.0,80.0
901,89.0,1.0,97.0
902,90.0,1.0,95.0
903,88.0,0.5,95.0
904,89.0,1.0,86.0
905,94.0,1.0,89.0
906,94.0,1.0,91.0
907,95.0,1.0,89.0
908,93.0,1.0,90.0
909,92.0,1.0,91.0
910,92.0,1.0,91.0
911,91.0,1.0,96.0
912,91.0,1.0,90.0
913,92.0,1.0,89.0
914,88.0,1.0,89.0
915,83.0,0.6666666666666666,86.0
916,91.0,1.0,90.0
