episode,global_step,from_policy,to_policy,true_policy,normalized_error
333,13106,attack,detour,direct,0.34947702288627625
333,13133,detour,attack,detour,0.45909297466278076
333,13184,attack,direct,detour,2.4089548587799072
333,13209,direct,attack,detour,2.09942364692688
333,13217,attack,attack,detour,1.2822706699371338
333,13226,attack,direct,detour,1.3603013753890991
333,13236,direct,attack,detour,1.3949156999588013
333,13243,attack,detour,detour,1.4061646461486816
333,13251,detour,detour,detour,1.200477957725525
333,13259,detour,direct,detour,1.439465880393982
333,13268,direct,direct,detour,0.515263557434082
333,13279,direct,attack,detour,1.39277184009552
333,13290,attack,attack,attack,0.6399778127670288
333,13341,attack,detour,attack,0.5478079915046692
333,13365,detour,detour,attack,0.38611724972724915
333,13402,detour,detour,attack,0.31974443793296814
334,13422,detour,attack,attack,0.5225582718849182
336,13464,attack,attack,direct,0.14440643787384033
337,13486,attack,attack,direct,0.16019290685653687
341,13535,attack,attack,direct,0.15972334146499634
345,13582,attack,detour,direct,0.22599031031131744
347,13623,detour,direct,detour,0.21523872017860413
347,13669,direct,detour,detour,1.0934735536575317
347,13678,detour,detour,detour,0.596439778804779
347,13694,detour,attack,detour,0.9995625615119934
347,13712,attack,detour,detour,1.0474629402160645
347,13719,detour,detour,detour,0.5029693245887756
347,13736,detour,attack,detour,0.5964775681495667
347,13750,attack,direct,detour,0.4181677997112274
347,13808,direct,direct,attack,0.23191814124584198
348,13854,direct,detour,attack,0.9086345434188843
349,13891,detour,attack,attack,0.9968717098236084
350,13921,attack,detour,direct,0.9860858917236328
351,13941,detour,detour,direct,0.39252597093582153
354,13980,detour,detour,direct,0.43845078349113464
356,14013,detour,detour,direct,0.3795233964920044
357,14042,detour,detour,direct,0.13133247196674347
361,14080,detour,attack,detour,1.3978221416473389
362,14193,attack,attack,detour,0.17989274859428406
363,14310,attack,attack,attack,0.23079785704612732
364,14400,attack,attack,direct,1.449070692062378
368,14453,attack,attack,direct,0.22450412809848785
371,14517,attack,detour,direct,0.23577259480953217
373,14562,detour,detour,detour,0.2781003415584564
375,14628,detour,direct,detour,0.3367086946964264
375,14695,direct,attack,detour,0.4311111569404602
375,14708,attack,attack,detour,0.4920447766780853
375,14718,attack,direct,detour,1.281962513923645
376,14791,direct,detour,attack,0.6150321960449219
376,14837,detour,detour,attack,0.40389910340309143
377,14876,detour,detour,attack,0.23910890519618988
380,14908,detour,detour,direct,0.41880494356155396
382,14952,detour,detour,direct,0.16048747301101685
386,14993,detour,detour,direct,0.13288703560829163
388,15054,detour,detour,detour,0.2713608741760254
389,15105,detour,detour,detour,0.26326990127563477
390,15134,detour,detour,detour,0.412766695022583
392,15187,detour,detour,detour,0.10809379070997238
393,15224,detour,attack,attack,0.4667707681655884
393,15254,attack,attack,attack,0.10992851853370667
393,15360,attack,detour,direct,2.0797958374023438
396,15382,detour,attack,direct,0.5596555471420288
399,15442,attack,detour,direct,0.2529343366622925
401,15486,detour,detour,direct,0.25161027908325195
404,15525,detour,detour,detour,0.4799448251724243
405,15562,detour,attack,detour,0.5949626564979553
406,15631,attack,direct,detour,0.5246397852897644
406,15672,direct,direct,detour,0.15811747312545776
407,15691,direct,detour,attack,0.5459616780281067
408,15734,detour,direct,attack,0.40155261754989624
408,15774,direct,attack,attack,0.2156817466020584
410,15861,attack,attack,direct,0.12750571966171265
415,15915,attack,attack,direct,0.1563931703567505
419,15997,attack,attack,direct,0.19217199087142944
419,16032,attack,detour,detour,2.1495845317840576
419,16042,detour,direct,detour,2.0057737827301025
419,16065,direct,direct,detour,0.31890085339546204
419,16090,direct,attack,detour,1.4807054996490479
419,16096,attack,attack,detour,1.423065423965454
419,16102,attack,direct,detour,1.6594479084014893
419,16109,direct,direct,detour,1.4201163053512573
419,16118,direct,direct,detour,0.916837751865387
419,16128,direct,detour,detour,1.9618804454803467
419,16135,detour,attack,detour,0.8775285482406616
419,16142,attack,direct,detour,1.468104600906372
419,16150,direct,attack,detour,1.6433359384536743
419,16157,attack,direct,detour,1.2741367816925049
419,16164,direct,detour,attack,1.624218225479126
419,16191,detour,detour,attack,0.2759421169757843
419,16216,detour,attack,attack,0.668632447719574
