episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,response_policy,response_policy_correct,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
23,195,9,99.0,91.0,chase_y,chase_y,True,chase_y,True,2,1,False,8.0,1.850657792101576
24,196,1,-1.0,-1.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,1.762531107362597
24,197,2,-1.0,-2.0,chase_y,chase_y,True,chase_y,True,4,1,False,7.959993808594814,1.7206676133283172
24,198,3,-1.0,-3.0,chase_y,chase_y,True,chase_y,True,4,3,False,8.0,1.6777356116360767
24,199,4,-1.0,-4.0,chase_y,chase_y,True,chase_y,True,4,1,False,8.0,1.6368734201918616
24,200,5,-1.0,-5.0,chase_x,chase_y,False,chase_y,False,4,4,False,7.9599999951272045,2.5917043284465113
24,201,6,-1.0,-6.0,chase_x,chase_y,False,chase_y,False,4,4,False,7.919992898295725,3.5517042212576966
24,202,7,-1.0,-7.0,chase_x,chase_y,False,chase_y,False,4,1,False,7.794013032541629,4.511704057776508
24,203,8,-1.0,-8.0,chase_x,chase_y,False,chase_y,False,1,1,False,7.663696839669817,5.471703892929491
24,204,9,-1.0,-9.0,chase_x,chase_y,False,chase_y,False,1,4,False,7.620573724876448,6.43170388415359
24,205,10,-1.0,-10.0,chase_x,chase_y,False,chase_y,False,1,1,False,7.580541555932698,7.391703881261646
24,206,11,-2.0,-12.0,chase_x,chase_y,False,chase_x,True,0,1,True,3.730727994521698,8.0
24,207,12,-2.0,-14.0,chase_x,chase_x,True,chase_x,True,3,3,False,4.485227823843965,7.959995693158339
24,208,13,-1.0,-15.0,chase_x,chase_x,True,chase_x,True,2,4,False,5.111732014415365,8.0
24,209,14,-1.0,-16.0,chase_x,chase_x,True,chase_x,True,3,3,False,4.99787598725718,7.959999984586522
24,210,15,-1.0,-17.0,chase_x,chase_x,True,chase_x,True,3,1,False,4.844906256169873,8.0
24,211,16,-1.0,-18.0,chase_x,chase_x,True,chase_x,True,3,4,False,4.804878854860713,8.0
24,212,17,99.0,81.0,chase_x,chase_x,True,chase_x,True,4,2,False,4.725848511207324,8.0
25,213,1,-1.0,-1.0,chase_x,chase_x,True,chase_x,True,3,1,False,4.685848475001818,7.959999999958587
25,214,2,-1.0,-2.0,chase_x,chase_x,True,chase_x,True,4,1,False,4.645848440002044,7.919999999349197
25,215,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,4,1,False,4.605847306046658,7.879999918631037
25,216,4,-1.0,-4.0,chase_x,chase_x,True,chase_x,True,0,1,False,4.461581044137781,7.8399991883228575
25,217,5,-1.0,-5.0,chase_x,chase_x,True,chase_x,True,2,1,False,4.316333093752143,7.795966873987784
25,218,6,-1.0,-6.0,chase_x,chase_x,True,chase_x,True,1,4,False,4.276330074179418,8.0
25,219,7,-1.0,-7.0,chase_x,chase_x,True,chase_x,True,3,1,False,4.132002241538,7.959999969855532
25,220,8,-1.0,-8.0,chase_x,chase_x,True,chase_x,True,2,4,False,4.090149719642813,8.0
25,221,9,-1.0,-9.0,chase_x,chase_x,True,chase_x,True,2,1,False,3.9541885363439118,8.0
25,222,10,-1.0,-10.0,chase_x,chase_x,True,chase_x,True,1,4,False,3.9141683223014243,8.0
25,223,11,-1.0,-11.0,chase_x,chase_x,True,chase_x,True,2,2,False,3.815116781762493,8.0
25,224,12,-1.0,-12.0,chase_x,chase_x,True,chase_x,True,4,2,False,3.715069652304443,8.0
25,225,13,-1.0,-13.0,chase_x,chase_x,True,chase_x,True,2,2,False,3.582980647003725,8.0
25,226,14,99.0,86.0,chase_x,chase_x,True,chase_x,True,3,1,False,3.4285600209237965,8.0
